sentimen,tweet,clean_tweet,clean_tweet_sentence
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ","['pilih', 'pimpin', 'jelas', 'banyak', 'capai', 'nah', '5', 'capai', 'ekonomi', 'lama', 'perintah', 'jokowi', 'coblos', '01', 'yuk', 'kerja']",pilih pimpin jelas banyak capai nah 5 capai ekonomi lama perintah jokowi coblos 01 yuk kerja
positif,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv","['calon', 'presiden', 'jokowi', 'jelas', 'program', 'kartu', 'pra', 'kerja', 'beri', 'insentif', 'kurun', 'waktu', 'tentu', 'bukan', 'arti', 'beri', 'gaji', 'cumacuma', 'masyarakat', 'hasil']",calon presiden jokowi jelas program kartu pra kerja beri insentif kurun waktu tentu bukan arti beri gaji cumacuma masyarakat hasil
negatif,"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.","['tidak', 'nginti', 'kamu', 'yunartowijaya', 'sih', 'atabdillahtoha', 'tidak', 'kaca', 'tidak', 'perlu', 'ajar', 'sandi', 'soal', 'ekonomi', 'banding', 'jokowi']",tidak nginti kamu yunartowijaya sih atabdillahtoha tidak kaca tidak perlu ajar sandi soal ekonomi banding jokowi
positif,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ ","['jokowi', 'perintah', 'selalu', 'upaya', 'jaga', 'imbang', 'harga', 'posisi', 'normal', 'tani', 'produsen', 'senang', 'hasil', 'kerja', 'harga', 'layak']",jokowi perintah selalu upaya jaga imbang harga posisi normal tani produsen senang hasil kerja harga layak
netral,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,","['terlalu', 'berat', 'nge', 'bahas', 'ekonomi', 'angka2', 'cukup', 'bahas', 'mobil', 'lejen']",terlalu berat nge bahas ekonomi angka2 cukup bahas mobil lejen
netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘","['mantap', 'betul', 'sekali', 'pak', 'isi', 'masa', 'tenang', 'umroh', 'sama', 'lurah', 'cinta', 'istri', 'anak', 'akhir', 'memang', 'keluarga', 'lah', 'asset', 'paling', 'harga', 'sehat', 'selalu', 'pakdeee']",mantap betul sekali pak isi masa tenang umroh sama lurah cinta istri anak akhir memang keluarga lah asset paling harga sehat selalu pakdeee
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,"['penting', 'sisi', 'industri', 'kreatif', 'inovatif', 'era', 'industri', 'global', 'buat', 'jokowi', 'gerak', 'ubah', 'badan', 'ekonomi', 'kreatif', 'bekraf', 'jadi', 'buah', 'menteri', 'coblos', '01', 'yuk', 'kerja']",penting sisi industri kreatif inovatif era industri global buat jokowi gerak ubah badan ekonomi kreatif bekraf jadi buah menteri coblos 01 yuk kerja
positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS","['16', 'pakta', 'integritas', 'prabowo', 'sandi', 'ulama', 'libat', 'ijtimak', 'ulama', 'sangat', 'jelas', 'pancasila', 'negara', 'satu', 'republik', 'indonesia', 'harga', 'mati', 'tidak', 'khilafah', 'khilafah', 'hanya', 'bual', 'makhluk', 'kolam']",16 pakta integritas prabowo sandi ulama libat ijtimak ulama sangat jelas pancasila negara satu republik indonesia harga mati tidak khilafah khilafah hanya bual makhluk kolam
netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­","['dengar', 'pak', 'mbak', 'vidya', 'curup', 'dulu', 'beli', 'lipstik', 'purbasari', 'harga', '25', 'ribu', 'sekarang', 'beli', 'lipstik', 'nyx', 'tidak', 'cukup', '25', 'ribu']",dengar pak mbak vidya curup dulu beli lipstik purbasari harga 25 ribu sekarang beli lipstik nyx tidak cukup 25 ribu
positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,"['prabowo', 'sejak', 'jadi', 'tni', 'puluh', 'tahun', 'tidak', 'ambil', 'gaji', 'rupiah', 'sandi', 'sejak', 'jadi', 'wagub', 'susah', 'iya', 'cari', 'orang', 'tidak', 'ambil', 'gaji', 'hasil', 'kerja', 'negara']",prabowo sejak jadi tni puluh tahun tidak ambil gaji rupiah sandi sejak jadi wagub susah iya cari orang tidak ambil gaji hasil kerja negara
netral,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦,"['assalamualaikum', 'tahu', '1', 'suara', 'sangat', 'harga', 'upaya', 'menang', '02', 'prabowo', 'sandiuno', 'rela', 'suara', 'karena', 'ada', 'jakarta', 'kartu', 'tanda', 'duduk', 'daerah', 'moga', 'suara', 'tidak', 'serta', 'balas', 'doa', 'moga', 'allah', 'swt', 'kabul', 'amin', 'iya', 'rabb']",assalamualaikum tahu 1 suara sangat harga upaya menang 02 prabowo sandiuno rela suara karena ada jakarta kartu tanda duduk daerah moga suara tidak serta balas doa moga allah swt kabul amin iya rabb
negatif,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦","['pilih', 'prabowosandiaga', 'janji', 'tidak', 'ambil', 'gaji', 'tahu', 'orangorang', 'superkaya', 'mbok', 'iya', 'rendah', 'hati', 'jangan', 'nyata', 'kata', 'konotasi', 'angkuh']",pilih prabowosandiaga janji tidak ambil gaji tahu orangorang superkaya mbok iya rendah hati jangan nyata kata konotasi angkuh
negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In,"['prabowo', 'apa', 'bapak', 'tidak', 'harga', 'rawan', 'puasa', 'tirakat', 'munajad', 'malam', 'suntuk', 'doa', 'menang', '02', 'mohon', 'balas', 'tweet', 'kontribusi', 'ngopi', 'rokok', 'lain', 'tirakatmujahadah', 'tidak', '02', 'gagal', 'ayo', 'semua', 'tirakat', 'munajad']",prabowo apa bapak tidak harga rawan puasa tirakat munajad malam suntuk doa menang 02 mohon balas tweet kontribusi ngopi rokok lain tirakatmujahadah tidak 02 gagal ayo semua tirakat munajad
positif,Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi,"['prabowo', 'sandi', 'menang', 'otomatis', 'ikut', 'sedekah', 'kaum', 'farkir', 'miskin', 'dhuafa', 'lalu', 'gaji', 'dua', 'tidak', 'ambil', 'sedekah']",prabowo sandi menang otomatis ikut sedekah kaum farkir miskin dhuafa lalu gaji dua tidak ambil sedekah
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kepercayaan hanya diberikan pd mrk yg berpengalaman. Seorang @jokowi memiliki wakil yg berpengalaman dibidang ekonomi. Coblos YUK 01 Yaâ€¦.   https://www.merdeka.com/uang/harapan-dan-prediksi-ekonomi-di-tangan-jokowi-maruf-amin.htmlÂ â€¦,"['percaya', 'beri', 'alam', 'orang', 'jokowi', 'milik', 'wakil', 'alam', 'bidang', 'ekonomi', 'coblos', 'yuk', '01', 'iya']",percaya beri alam orang jokowi milik wakil alam bidang ekonomi coblos yuk 01 iya
negatif,"UMMAT ISLAM YG WARAS DAN CERDAS PASTI SENANG BERAMAL,COBLOS PRABOWO  ANDA IKUT ANDIL DLM BERAMAL , GAJI BELIAU TDK DIAMBIL  TP UNTK AMAL***","['ummat', 'islam', 'waras', 'cerdas', 'senang', 'beramalcoblos', 'prabowo', 'ikut', 'andil', 'amal', 'gaji', 'beliau', 'tidak', 'ambil', 'amal']",ummat islam waras cerdas senang beramalcoblos prabowo ikut andil amal gaji beliau tidak ambil amal
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Keberhasilan tidak hanya dibidang infrastruktur, Jokowi jg berhasil memperbaiki ekonomi Indonesia. Coblos YUK 01 Yaâ€¦.  https://kumparan.com/beritajatim/kein-ada-18-keberhasilan-ekonomi-di-era-jokowi-1546401151770458328Â â€¦","['hasil', 'tidak', 'bidang', 'infrastruktur', 'jokowi', 'hasil', 'baik', 'ekonomi', 'indonesia', 'coblos', 'yuk', '01', 'iya']",hasil tidak bidang infrastruktur jokowi hasil baik ekonomi indonesia coblos yuk 01 iya
negatif,"Model ngeles petruk Sudah ketaker  Ber-busa2 didepan Sandi ngomongin ekonomi makro dg congkaknya  Untung Sandi nya sabar gak di kick balik Pantesan menteri2nya yg pintar2 pada mbodoni  , lha juragannya kyk gini pek*k nya  ..ðŸ˜¢ðŸ˜¬ #UASdifitnahKejiBalasDiTPS @prabowo @sandiuno","['model', 'kilah', 'truk', 'ketaker', 'berbusa2', 'depan', 'sandi', 'bicara', 'ekonomi', 'makro', 'congkak', 'untung', 'sandi', 'nya', 'sabar', 'tidak', 'kick', 'balik', 'pantas', 'menteri2nya', 'pintar2', 'mbodoni', 'lah', 'juragan', 'begini', 'pekk', 'nya', 'prabowo', 'sandiuno']",model kilah truk ketaker berbusa2 depan sandi bicara ekonomi makro congkak untung sandi nya sabar tidak kick balik pantas menteri2nya pintar2 mbodoni lah juragan begini pekk nya prabowo sandiuno
positif,"Dengan memilih 02 kita sudah bersodakoh,  karna prabowo sandi menyumbangkan gaji mereka untuk negara,fakir miskin, yatim piatu, masjid. Jadikan prabowo sandi presiden dan wakil presiden RI  #SAVE_UAS","['pilih', '02', 'sedekah', 'prabowo', 'sandi', 'sumbang', 'gaji', 'negarafakir', 'miskin', 'yatim', 'piatu', 'masjid', 'jadi', 'prabowo', 'sandi', 'presiden', 'wakil', 'presiden', 'republik', 'indonesia', 'uas']",pilih 02 sedekah prabowo sandi sumbang gaji negarafakir miskin yatim piatu masjid jadi prabowo sandi presiden wakil presiden republik indonesia uas
positif,Alhamdulillah Capres 02 Mau sedekahkan Gajinya Untuk Rakyat Miskin..  Disini kami Korban2 Gempa2 pasigala butuh bantuan pak.. @prabowo @sandiuno @karniilyas @rockygerung #PrabowoSandi #02MenangAdilMakmur,"['alhamdulillah', 'capres', '02', 'mau', 'sedekah', 'gaji', 'rakyat', 'miskin', 'sini', 'korban2', 'gempa2', 'pasigala', 'butuh', 'bantu', 'pak', 'prabowo', 'sandiuno', 'karniilyas', 'rockygerung']",alhamdulillah capres 02 mau sedekah gaji rakyat miskin sini korban2 gempa2 pasigala butuh bantu pak prabowo sandiuno karniilyas rockygerung
netral,"No. 5 donk mang.  Dan sayah percaya, semua saudara seperjuangan 02, ikhlas HANYA ingin negeri ini berubah jauh lebik baik lg dari sekarang. Masyarakatnya damai, tenang, aman...kesejahteraan meningkat, harga2 rendah & stabil #UASdifitnahKejiBalasDiTPS #UASdifitnahKejiBalasDiTPS","['nomor', '5', 'dong', 'memang', 'percaya', 'semua', 'saudara', 'juang', '02', 'ikhlas', 'negeri', 'ubah', 'jauh', 'lebih', 'baik', 'sekarang', 'masyarakat', 'damai', 'tenang', 'aman', 'sejahtera', 'tingkat', 'harga2', 'rendah', 'stabil']",nomor 5 dong memang percaya semua saudara juang 02 ikhlas negeri ubah jauh lebih baik sekarang masyarakat damai tenang aman sejahtera tingkat harga2 rendah stabil
negatif,@DivHumas_Polri  Gakan di ladenin sama pak pulisi   Karna pak pulisi di gaji sama @jokowi pake duit @jokowi bukaan sama RAKYAT!!!  lapor nya nanti aja tunggu udah ganti presiden   #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrutal #UASdifitnahKejiDanBrut,"['divhumaspolri', 'tidak', 'laden', 'sama', 'pak', 'polisi', 'pak', 'polisi', 'gaji', 'sama', 'jokowi', 'pakai', 'uang', 'jokowi', 'bukan', 'sama', 'rakyat', 'lapor', 'nya', 'tunggu', 'ganti', 'presiden']",divhumaspolri tidak laden sama pak polisi pak polisi gaji sama jokowi pakai uang jokowi bukan sama rakyat lapor nya tunggu ganti presiden
negatif,"baguslah pendukung jokowi tebang pohon bkn dg golok/gergaji, tapi dg ranting pohon itu sendiri, jadi elektabilitas jokowi nyungseb bkn oleh lawan politiknya, tapi oleh pendukung dari dalam sendiri. TOLOL DIPELIHARA, DASAR EBONG  https://twitter.com/AkunTofa/status/1117528741809229824Â â€¦","['bagus', 'dukung', 'jokowi', 'tebang', 'pohon', 'bukan', 'golokgergaji', 'ranting', 'pohon', 'sendiri', 'jadi', 'elektabilitas', 'jokowi', 'jatuh', 'depan', 'bukan', 'lawan', 'politik', 'dukung', 'sendiri', 'tolol', 'pelihara', 'dasar', 'ebong']",bagus dukung jokowi tebang pohon bukan golokgergaji ranting pohon sendiri jadi elektabilitas jokowi jatuh depan bukan lawan politik dukung sendiri tolol pelihara dasar ebong
positif,"Memang tidak bisa kita menghendaki harga cabai sampai Rp 10.000, harga bawang sampai Rp 5.000, petaninya yang kasihan, kata Jokowi #2019JokowiKyaiMaruf #1PeriodeLagiUntukJokowi #PesonaBonoSurfing  https://twitter.com/tag_nusantara/status/1061795598209232896/photo/1 pic.twitter.com/NApI0SoReiÂ ","['memang', 'tidak', 'hendak', 'harga', 'cabai', 'rupiah', '10', '000', 'harga', 'bawang', 'rupiah', '5', '000', 'tani', 'kasihan', 'kata', 'jokowi']",memang tidak hendak harga cabai rupiah 10 000 harga bawang rupiah 5 000 tani kasihan kata jokowi
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  https://apahabar.com/2019/04/presiden-jokowi-dan-raja-salman-sepakat-tingkatkan-kerjasama-ekonomi/Â â€¦ via @apahabar.com,"['presiden', 'jokowi', 'raja', 'salman', 'sepakat', 'tingkat', 'kerjasama', 'ekonomi', 'via', 'apahabar', 'com']",presiden jokowi raja salman sepakat tingkat kerjasama ekonomi via apahabar com
negatif,02 kelar hidupmu.. bisanya cuma harga mahal turunkan solusi 0% kubu Prabowo bahlull,"['02', 'selesai', 'hidup', 'bisa', 'cuma', 'harga', 'mahal', 'turun', 'solusi', '0', 'kubu', 'prabowo', 'bahlull']",02 selesai hidup bisa cuma harga mahal turun solusi 0 kubu prabowo bahlull
positif,Tak akan terima gaji sbg presiden dan wapres. Akan disumbangkan ke negara dan fakir miskin..pertama dlm sejarah bangsa Indonesia..  DEBAT PILPRES: PERNYATAAN PENUTUP PRABOWO-SANDIAGA UNO  https://youtu.be/rMQzSqN-U3cÂ  lewat @YouTube,"['tidak', 'terima', 'gaji', 'presiden', 'wapres', 'sumbang', 'negara', 'fakir', 'miskin', 'pertama', 'sejarah', 'bangsa', 'indonesia', 'debat', 'pilpres', 'nyata', 'tutup', 'prabowosandiaga', 'uno', 'lewat', 'youtube']",tidak terima gaji presiden wapres sumbang negara fakir miskin pertama sejarah bangsa indonesia debat pilpres nyata tutup prabowosandiaga uno lewat youtube
positif,"Kalau infrastructure yg di bangun pakai uang pribadi dia boleh lah yg ga mendukung untuk tidak lewat sana,, tp ini pakai pajak dr Semua Warga negara dan setiap lewat pun harus bayar.","['kalau', 'infrastruktur', 'bangun', 'pakai', 'uang', 'pribadi', 'lah', 'tidak', 'dukung', 'tidak', 'lewat', 'sana', 'pakai', 'pajak', 'semua', 'warga', 'negara', 'lewat', 'bayar']",kalau infrastruktur bangun pakai uang pribadi lah tidak dukung tidak lewat sana pakai pajak semua warga negara lewat bayar
positif,"#PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih ada Beberapa penghargaan yg dianugerahkan kepadanya, menjadi bukti bahwa @jokowi adalah sosok pemimpin yg diakui integritasnya.  https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦","['beberapa', 'harga', 'anugerah', 'kepada', 'jadi', 'bukti', 'jokowi', 'sosok', 'pimpin', 'aku', 'integritas']",beberapa harga anugerah kepada jadi bukti jokowi sosok pimpin aku integritas
positif,"Bersatu Bersama Jokowi-KMA.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]","['satu', 'sama', 'jokowikma', 'bagai', 'capai', 'hasil', 'capai', 'khusus', 'tumbuh', 'ekonomi', 'era', 'perintah', 'jokowi', 'sangat', 'jauh', 'tingkat']",satu sama jokowikma bagai capai hasil capai khusus tumbuh ekonomi era perintah jokowi sangat jauh tingkat
netral,Orang luar negeri sangat menghargai prestasi yg sudah dilakukan JOKOWI tetapi dinegaranya sendiri banyak yg mencaci,"['orang', 'luar', 'negeri', 'sangat', 'harga', 'prestasi', 'laku', 'jokowi', 'negara', 'sendiri', 'banyak', 'caci']",orang luar negeri sangat harga prestasi laku jokowi negara sendiri banyak caci
netral,"Maaf Pak , Rakyat tdk butuh pelukan , Rakyat butuh harga sembako murah ,  Listrik tarif turunkan , butuh lap kerja , bukan janji2 saja , #UASdifitnahKejiDanBrutal","['maaf', 'pak', 'rakyat', 'tidak', 'butuh', 'peluk', 'rakyat', 'butuh', 'harga', 'sembilan', 'bahan', 'pokok', 'murah', 'listrik', 'tarif', 'turun', 'butuh', 'lap', 'kerja', 'bukan', 'janji2']",maaf pak rakyat tidak butuh peluk rakyat butuh harga sembilan bahan pokok murah listrik tarif turun butuh lap kerja bukan janji2
netral,"#GameofThrones Winter is coming Pidato Jokowi di IMF Bank Dunia  Ibaratkan Ekonomi Dunia seperti Game Of Thrones  Game of Throneâ€™, Presiden Jokowi: Penting, Kekuatan Bersama Untuk Kalahkan â€˜Evil Winterâ€™  http://setkab.go.id/seperti-game-of-throne-presiden-jokowi-penting-kekuatan-bersama-untuk-kalahkan-evil-winter/Â â€¦ â€¦ #2019TetapJokowi pic.twitter.com/B8bZPjbFFi","['winter', 'is', 'coming', 'pidato', 'jokowi', 'dana', 'moneter', 'internasional', 'bank', 'dunia', 'ibarat', 'ekonomi', 'dunia', 'game', 'of', 'thrones', 'game', 'of', 'throne', 'presiden', 'jokowi', 'penting', 'kuat', 'sama', 'kalah', 'evil', 'winter']",winter is coming pidato jokowi dana moneter internasional bank dunia ibarat ekonomi dunia game of thrones game of throne presiden jokowi penting kuat sama kalah evil winter
positif,"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l","['vidiaamanda3', '17', 'april', 'pilih', 'jokowikma', 'dulu', 'sekadar', 'tumbuh', 'ekonomi', 'perata', 'zaman', 'pak', 'jokowi', 'bukan', 'tumbuh', 'ekonomi', 'perata', 'bangun']",vidiaamanda3 17 april pilih jokowikma dulu sekadar tumbuh ekonomi perata zaman pak jokowi bukan tumbuh ekonomi perata bangun
netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi   http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ #01OptimisIndonesiaMaju pic.twitter.com/Gudihikymw,"['jokowi', 'raja', 'salman', 'sepakat', 'tingkat', 'kerja', 'sama', 'ekonomi']",jokowi raja salman sepakat tingkat kerja sama ekonomi
negatif,#UAHUASUAHUAS  ... Meskipun aku di surga Mungkin aku tak bahagia Bahagiaku tak sempurna Bila itu tanpamu... *Gandeng tangan prabowo  Baru jadi ustad sudah yakin masuk surga.... Ckckckck... Salah milih guru ngaji gue... #2019GantiPengajian,"['meski', 'surga', 'mungkin', 'tidak', 'bahagia', 'bahagia', 'tidak', 'sempurna', 'bila', 'tanpa', 'gandeng', 'tangan', 'prabowo', 'baru', 'jadi', 'ustad', 'yakin', 'masuk', 'surga', 'ckckckck', 'salah', 'pilih', 'guru', 'aji']",meski surga mungkin tidak bahagia bahagia tidak sempurna bila tanpa gandeng tangan prabowo baru jadi ustad yakin masuk surga ckckckck salah pilih guru aji
negatif,"Buat anggota @KPU_ID anda tdk layak digaji, sebaiknya rasa malu diutamakan daripada isi perut. Gede bacot minim torehan prestasi.  cc @jokowi","['buat', 'anggota', 'kpuid', 'tidak', 'layak', 'gaji', 'baik', 'rasa', 'malu', 'utama', 'isi', 'perut', 'gede', 'banyak', 'bicara', 'minim', 'toreh', 'prestasi', 'cc', 'jokowi']",buat anggota kpuid tidak layak gaji baik rasa malu utama isi perut gede banyak bicara minim toreh prestasi cc jokowi
